Action Taken,Severity Level,Attack Type,Destination Port,Source Port,Anomaly Scores,Packet Length,Localidad
1,1,2,20110,4729,7374,127,7
2,0,1,23271,24910,1013,1126,247
1,0,1,10436,27207,3463,1042,167
2,2,2,648,20835,1197,708,287
2,1,0,6431,10011,1041,664,232
1,2,2,9746,29450,3918,171,170
0,2,1,9756,22755,5763,373,148
1,2,2,18438,27324,6563,334,260
2,1,2,2255,20615,8679,496,70
2,2,1,13251,21867,6500,162,304
0,2,2,9396,29504,5216,1015,113
2,1,0,24201,9044,4875,984,43
2,1,1,10850,14496,1650,458,240
0,1,1,24767,17582,7520,1043,213
1,1,1,3793,525,3409,346,224
1,2,2,20441,20367,817,516,296
0,0,2,23759,113,1335,1088,238
2,2,2,28988,15341,1366,567,164
1,1,1,24386,23165,1355,794,267
2,1,2,27446,22865,2231,970,8
1,1,0,25717,8954,7208,1354,312
1,0,0,2441,16088,3600,86,113
0,1,1,24366,27753,3315,770,9
1,1,0,13246,4284,5398,824,204
0,2,1,1075,3507,6859,987,136
1,2,0,7419,24027,1575,146,300
1,1,0,20590,26962,2580,1321,295
1,1,2,28140,14951,2140,836,104
0,1,0,25794,5522,2529,420,306
1,2,1,13063,18376,4879,220,170
1,0,0,19020,4818,980,916,252
0,1,0,20327,28904,2550,481,260
2,0,0,24550,20837,9455,299,78
0,2,0,13393,14382,7618,500,289
1,0,0,13614,24587,8692,105,173
0,2,0,1998,17831,9590,1073,185
1,2,0,7732,28752,5523,869,3
0,2,0,6764,664,8298,843,15
0,2,0,29085,7995,4501,1298,299
0,0,1,15608,251,7160,713,277
2,2,2,14782,28336,7026,588,296
2,0,2,5456,21288,9247,432,249
1,2,2,17870,1495,8062,1358,244
1,1,0,17007,105,98,343,299
1,2,2,12558,3353,8506,337,199
1,1,2,11920,6804,7233,1037,41
2,1,0,21426,3028,4551,508,81
0,1,1,10738,19934,934,92,50
1,2,2,26743,3114,7914,604,185
1,0,0,4229,28771,3895,1204,9
1,0,1,16904,17191,5510,919,252
0,2,1,28790,27803,3677,764,55
1,1,2,14010,19235,1301,74,49
1,0,1,24122,27550,2986,328,37
1,2,1,24424,6451,2805,1040,301
0,1,0,24769,5562,6075,1177,283
2,1,2,21225,27479,2236,1420,147
0,1,0,2727,18921,1116,859,161
2,2,1,7858,16477,8583,265,7
0,2,0,16861,3756,6588,51,88
0,1,0,11207,4140,7579,206,63
0,0,2,12976,28353,8906,1260,231
2,1,0,9798,7417,9076,168,299
1,0,2,4768,15955,3287,1383,80
0,2,2,15495,441,4234,1053,216
0,0,2,15291,5207,8438,15,152
0,2,0,21854,3824,6051,260,267
1,0,1,12199,6537,8480,1156,168
1,0,0,22245,13012,2052,1329,104
1,2,2,8511,23748,7626,781,41
0,0,1,17916,15213,9393,707,143
0,0,0,26458,28238,3032,806,37
0,2,0,16003,19676,8492,1060,201
0,1,2,14294,25119,1701,92,3
2,0,0,24690,5776,7444,78,305
1,1,1,29193,13804,7383,1208,289
0,0,2,6571,2263,4336,134,152
1,1,0,5576,29276,387,516,186
2,1,0,22029,27378,5777,421,16
2,0,0,5215,18466,5405,1000,43
0,1,0,18519,15725,2234,953,60
0,2,2,7916,12646,59,293,241
2,2,2,22565,7736,5994,229,7
2,0,0,12087,28518,9250,1417,155
0,2,1,17649,27274,3619,1422,79
1,0,0,3420,21381,7506,1314,227
0,2,2,26706,18882,1927,284,195
1,1,1,28254,19774,1580,543,201
2,0,1,4220,2235,5928,247,74
0,0,1,28939,16159,6450,850,233
0,2,1,8289,16272,4263,1283,193
0,2,1,28441,14108,5318,135,3
1,1,1,12636,15766,6641,32,250
1,1,0,7048,6836,1235,1370,126
1,2,1,7776,8226,9526,665,284
2,2,2,14414,20034,519,557,91
2,1,1,21980,23100,1894,189,163
1,0,2,14247,5097,3678,880,223
1,2,1,27514,25577,2017,934,96
1,1,0,2437,22940,1573,839,106
1,2,2,17787,23543,6026,133,109
0,2,0,15215,12605,3904,706,190
0,2,0,2674,14326,7473,327,194
0,1,0,19883,3032,6707,74,137
1,0,1,19492,1741,3942,954,147
2,0,1,19839,17509,9682,940,240
0,1,0,21793,20014,9128,1032,283
1,0,1,19928,28647,3099,121,181
0,1,0,27354,13561,641,372,211
0,2,0,5261,14840,5081,396,231
2,0,1,15654,27047,5868,1371,300
0,1,1,10215,28042,3423,1182,105
1,2,2,15458,9757,4735,596,146
0,1,0,17076,12256,6462,965,98
0,1,1,25383,5115,8441,1416,315
1,1,1,12316,13936,5070,877,138
0,2,0,21671,20322,9358,1170,52
2,1,2,22257,23443,7127,541,195
1,2,2,7327,14518,4624,1399,99
2,1,0,7879,1030,1856,1148,36
1,0,1,4955,22928,4884,1121,176
2,1,2,17120,8890,7699,1146,177
2,0,2,21063,17548,1722,130,119
0,1,0,1496,21077,7773,539,151
0,2,1,25171,25875,6688,1016,8
0,0,1,15380,23387,2394,915,221
1,1,1,26033,20570,5959,477,39
1,2,1,13822,18901,8603,106,171
0,0,0,16327,11976,5550,1304,66
0,2,1,795,16236,3367,431,262
1,1,2,973,9722,248,347,102
2,0,1,22724,4128,6746,803,155
0,1,1,28529,24096,6399,1303,313
1,2,1,23862,14481,1929,1203,232
1,0,0,8629,21272,9722,1022,140
2,2,2,9438,20846,2755,1030,271
0,1,0,13389,10599,37,945,314
2,0,2,7233,16816,7993,650,77
2,0,0,10766,20688,8530,844,247
2,2,2,16299,1355,1295,1429,208
0,0,2,4610,11418,9552,1363,69
2,1,0,19993,18239,2945,1095,116
1,2,1,20223,15095,6763,8,44
2,1,0,28325,17278,3358,921,124
0,2,1,22636,16398,4025,906,237
2,0,0,29774,25175,8261,193,205
2,2,2,26604,4234,550,580,275
1,1,0,3614,10730,7156,229,260
2,2,1,916,11832,8774,203,143
2,0,2,2270,1739,3452,895,11
0,0,2,16120,8452,613,482,143
2,0,1,21245,78,5588,1436,290
0,2,2,9042,16687,1365,18,147
2,2,2,27143,26980,4248,600,288
0,1,0,9972,12797,9046,25,283
2,1,2,19820,23162,1700,1430,45
0,0,0,27990,24638,5192,735,166
0,0,0,9856,17434,6973,1385,204
1,0,1,21634,3659,5306,764,189
1,1,2,18512,17156,3547,323,36
0,2,2,25769,15157,5101,1312,123
1,2,0,12486,13322,8102,899,47
1,1,2,27496,18912,9333,188,62
0,0,0,24672,2359,5913,463,130
1,2,0,21786,2008,8826,13,56
2,2,2,25935,9582,7447,210,181
2,0,0,27305,7282,8413,255,8
1,0,0,20361,24301,2103,1318,116
1,1,0,18076,17877,111,1016,207
2,2,0,22420,10626,1146,688,113
0,1,1,11197,6620,5434,141,73
1,1,1,10671,10875,4021,384,200
1,0,0,2306,6730,294,487,63
2,2,0,4550,5678,2103,439,256
0,2,0,6625,20173,8244,728,25
2,1,2,17942,996,4278,621,58
1,2,2,21436,2812,1613,953,290
1,0,1,13576,28819,357,552,54
2,1,2,10060,12889,4154,419,35
0,0,1,19293,26593,8812,409,186
1,0,2,5162,7891,7474,577,266
1,2,1,6316,4251,1056,1368,8
2,0,1,7803,8348,3598,1130,51
0,1,2,9580,7889,3767,1058,273
0,2,0,16380,26911,488,332,275
2,0,0,6934,16027,6232,1319,293
0,1,1,16767,16311,815,421,92
1,1,2,19956,26800,3937,467,6
2,2,0,28253,29672,8612,661,262
0,1,1,11923,21125,3156,579,135
2,0,1,929,19455,9091,489,163
0,2,0,16652,20591,107,1379,303
1,1,1,22182,15940,1396,636,126
0,0,0,25023,18494,441,106,129
0,2,2,9039,4143,2420,366,61
1,1,2,4385,2134,6222,978,100
0,1,1,17033,14051,7308,924,188
2,0,2,26275,25159,7084,859,78
0,2,2,13325,20994,727,1117,45
2,1,1,9720,3934,9346,1083,87
1,2,1,29289,4106,9649,1273,161
1,2,2,17245,18525,2926,401,166
2,2,2,28112,2341,6333,1124,162
2,1,2,16279,18504,8869,696,211
1,0,1,5293,10331,2596,450,123
2,1,2,5245,27286,9323,373,180
2,0,0,3818,8363,7170,364,258
2,2,1,14616,16816,4887,65,129
1,2,2,17844,28569,8799,608,182
0,1,2,10779,3977,3560,1180,239
0,0,2,7931,8841,6276,284,211
1,1,1,352,9113,8772,222,282
0,2,1,27028,1826,6420,520,90
0,0,2,18714,19175,8301,1326,231
2,2,0,239,23572,6118,638,153
1,2,0,18093,22238,6743,1272,173
2,0,2,27115,11036,5066,44,73
2,2,0,27152,23959,4513,798,79
2,1,0,13057,25330,1016,1220,134
0,1,2,5832,20518,6946,746,138
2,0,0,27010,4814,5872,619,212
0,2,0,27261,17006,4200,1128,31
0,0,1,5946,4672,9688,1340,113
2,0,2,22419,16510,6922,245,248
1,0,1,27514,17124,3833,619,314
0,2,2,24156,10714,7001,1089,221
0,0,1,22357,26517,5538,1190,266
2,0,0,14490,1490,2064,1319,179
1,2,0,10581,13292,7701,1039,82
2,2,1,1314,13160,8501,491,70
1,0,2,1838,10705,4373,194,126
0,2,2,5972,28408,5900,402,181
0,2,0,28134,10650,2677,1335,75
2,2,2,4050,1208,6847,578,27
0,0,1,25398,12493,6402,322,137
0,0,1,25043,19755,3909,978,217
0,0,1,28198,18689,8229,577,180
1,1,2,15446,1453,8677,770,21
0,0,2,25673,9411,8753,459,26
0,2,2,7540,6213,2483,1220,15
0,2,0,5631,4227,4952,91,167
0,2,0,21027,18980,7902,366,288
0,1,0,13532,22801,7263,1043,288
2,2,2,10677,17562,1822,469,208
0,2,1,15816,28583,1823,1266,60
0,1,1,8330,4166,7330,1074,64
0,2,0,13912,11719,341,331,88
1,1,0,6196,12730,5201,228,0
0,0,0,6169,23739,3448,1267,81
0,1,2,17217,4136,2329,852,270
2,2,2,1991,61,5604,869,24
2,2,2,22915,133,4030,466,48
1,2,0,24065,11447,4827,369,39
2,0,2,5415,17161,6096,1345,306
1,0,0,29339,3208,8163,571,37
1,0,2,4330,26510,4644,922,3
0,2,1,18863,3525,485,274,17
1,0,1,21209,10523,900,1422,128
1,2,2,19640,20596,2843,1311,226
1,0,0,13590,24915,784,1184,50
0,0,2,1931,10829,1004,19,15
2,0,2,9626,14933,8756,1238,227
2,1,0,20478,23056,4245,54,14
1,2,0,2985,26255,1962,464,191
1,2,1,17048,23619,5837,9,161
1,2,0,19436,11461,2057,361,20
2,1,0,23038,6182,1365,344,103
1,2,2,18072,14381,1292,695,251
2,0,1,26891,28589,6028,897,168
2,2,0,8416,10235,8294,825,271
1,1,0,21221,16717,2457,910,41
0,2,1,11310,3796,4255,1346,276
0,2,1,7085,14887,5678,1086,21
0,2,2,1344,18155,1513,1194,309
2,0,2,15320,9395,2135,1255,74
2,0,1,1406,273,1282,873,306
0,2,2,19985,1570,9511,954,144
0,2,0,11922,7949,5533,60,276
1,1,0,13320,21577,5769,860,143
1,0,0,28525,5853,3307,1008,201
1,1,1,14509,27491,6273,577,48
0,0,1,25845,23244,4835,213,10
1,1,2,22304,18509,8048,497,207
1,0,2,12943,9179,802,867,251
2,1,0,28048,6956,1345,842,73
1,0,1,2677,6391,2000,794,150
1,1,1,28316,21467,3721,943,48
0,1,0,15868,9509,326,344,265
2,1,0,20234,23223,2247,670,174
2,0,2,11331,1084,7588,775,88
0,0,1,5289,23300,7238,837,94
2,1,2,27719,3832,2577,351,78
0,2,1,12728,6726,4423,1181,15
1,1,0,15383,12361,8542,785,130
2,2,2,23074,2937,577,527,83
0,0,2,11413,22994,2570,450,82
0,1,0,23687,24855,7253,465,60
0,0,2,24580,21923,9325,498,239
0,2,0,18000,11970,1004,591,251
1,0,0,22308,11587,2744,1219,66
0,0,1,26249,9416,1962,1432,5
0,1,1,22612,17600,6603,111,26
2,1,0,17119,17836,3865,820,259
2,1,1,4573,27985,5925,501,74
2,2,2,29035,20162,4685,188,244
2,0,1,346,404,8461,314,242
0,1,2,1477,20924,1530,523,154
1,1,2,26164,7480,6712,508,19
2,1,1,16919,7672,4105,342,96
1,0,0,3832,5069,8687,343,233
1,2,2,9977,24611,5392,840,277
2,1,2,18884,20656,7101,435,248
0,0,0,27137,8730,4174,949,162
0,0,0,5386,2280,938,1258,303
2,1,2,26721,2454,1172,435,55
0,0,0,8725,23245,3366,388,231
1,1,0,18358,17860,6602,100,22
1,2,1,2629,11085,3705,482,100
2,0,1,15501,12171,2671,82,158
2,0,1,6318,8005,9122,1338,69
1,2,0,12463,19369,3560,398,3
0,0,2,18285,27772,5770,524,243
0,0,1,26986,20215,5286,806,184
1,0,1,9087,14175,3571,403,141
1,1,2,8923,21925,5562,1208,138
0,2,0,325,9938,1609,1055,164
1,0,2,18925,23994,2776,381,211
2,2,2,23254,28792,6479,273,129
1,0,1,3954,10410,5884,1391,161
1,0,0,25579,8586,4288,778,122
1,2,0,2652,12477,4954,579,187
1,0,2,2284,17310,3884,203,237
2,0,2,16813,22377,189,628,305
0,0,2,15797,13747,2034,423,268
0,2,0,11179,14250,7654,985,36
2,0,2,21500,26304,7595,82,165
2,2,2,23263,28279,2792,392,9
1,1,2,11113,10466,468,1355,24
0,2,2,23631,26530,7087,972,297
0,2,0,14067,11847,7518,495,1
1,1,0,29172,6083,3598,1134,57
1,0,2,10319,14700,6519,1021,117
2,1,1,15656,13573,5836,919,14
0,0,0,13885,25692,4638,1281,111
1,2,2,14705,26513,1972,1153,137
0,1,1,11148,2979,345,1347,304
0,1,1,5671,21009,4995,28,279
2,2,2,17520,7328,4610,546,234
1,1,2,10892,26945,3933,447,279
2,0,2,23297,28879,2382,659,237
1,1,1,29886,13400,4261,544,75
0,1,2,18643,12836,5255,765,283
0,1,0,2371,9591,3782,358,193
1,2,2,22650,9361,815,837,106
2,0,2,22782,26353,1069,1282,50
2,1,0,14084,15756,5564,483,173
2,1,2,6165,28191,8965,1328,123
2,0,1,4010,22407,6050,439,233
0,2,2,20507,12352,3565,122,296
1,0,1,6691,28221,9334,909,84
2,1,2,29385,8781,6584,207,77
2,0,0,14933,24526,8741,379,21
1,0,1,8810,2101,9461,540,276
0,0,0,27847,22762,787,993,166
2,0,2,20523,1211,4074,1331,234
0,2,2,17306,27565,559,326,58
0,2,0,8957,23105,5885,1433,135
1,2,1,13768,1960,4215,1418,268
0,0,2,8571,15657,8325,984,185
2,2,2,3131,24079,1617,1040,24
0,1,0,20691,1652,6806,369,100
2,0,0,16207,207,2437,1353,160
2,2,2,3704,11423,9671,1008,238
0,0,0,2025,18016,7684,1264,5
2,1,0,16222,10994,926,1187,13
1,0,0,16760,21303,7598,90,51
2,1,0,13167,14470,2713,93,9
2,1,0,21016,17754,6888,1250,228
2,2,0,20820,13566,5266,438,170
1,0,2,22518,26520,9031,757,172
2,2,1,3503,7382,8467,356,112
1,2,2,5329,27623,1299,77,298
0,0,2,23260,15406,5108,1278,148
1,2,1,4853,21296,8241,530,83
1,2,0,25162,19344,5944,146,159
0,2,1,881,4408,7243,460,273
2,0,1,18928,19941,6065,1243,86
1,0,2,27977,28046,8046,769,75
1,0,0,15542,2377,6823,744,159
0,0,0,24452,10493,8585,651,239
2,2,2,21234,28439,3263,566,146
2,1,1,3630,10238,9194,701,0
1,1,0,3789,24981,6017,489,127
2,0,2,16288,6907,2122,1351,243
0,2,0,2965,27664,1757,690,147
0,0,0,21544,23585,8112,354,74
2,0,2,21002,21911,34,724,282
2,2,1,28477,8615,3383,346,212
0,2,1,1490,18894,1529,263,100
2,0,1,9879,10600,6147,370,4
1,1,1,26642,21070,3616,730,310
2,0,2,29516,10352,4205,145,35
0,2,2,23632,3399,4007,53,132
0,1,0,22058,17957,7386,165,199
2,0,1,1919,1849,2438,874,294
1,2,1,21444,25054,5733,1170,238
0,1,2,14625,16174,8069,907,261
0,2,0,23716,15246,4886,1301,278
2,0,0,28312,20630,9184,1269,217
2,0,2,13422,8733,9027,131,177
1,0,0,16393,23570,8865,3,29
1,0,2,20187,22333,5707,69,147
0,0,2,28278,11849,9561,1142,2
2,1,1,25121,5010,8786,928,108
1,0,1,17542,6686,716,1322,307
1,1,1,7986,23333,7645,845,41
2,0,2,17513,26017,3100,991,110
1,2,0,10216,28152,4543,302,106
1,1,1,22748,21730,9808,889,258
1,1,0,23092,14304,6220,1297,281
1,1,2,19487,20698,6936,432,88
1,2,1,16118,27155,7773,605,117
2,1,1,8771,26399,7139,454,28
2,1,0,28406,22986,5623,998,289
0,0,0,14488,122,3004,1102,216
1,0,2,18149,24394,2895,157,21
2,1,0,22920,22488,2586,1405,10
2,2,2,11819,7123,2421,822,293
2,0,1,3473,25448,6940,257,85
2,1,1,17703,6430,3652,389,97
0,1,1,17087,9641,9079,1048,310
2,1,2,16329,26344,539,809,276
2,1,1,2033,19533,8308,94,73
2,1,2,1460,15256,7747,1018,175
1,0,2,7580,17199,6940,1246,22
0,1,0,12374,20275,7771,851,119
1,0,2,334,17023,5671,192,167
2,2,2,13904,22574,3465,598,140
2,0,2,26824,25567,3036,1240,287
2,1,1,6199,15840,9071,1295,97
2,2,0,2086,22170,1354,1005,78
2,2,0,27517,21372,9534,1432,12
0,1,1,11842,22697,1712,345,8
1,2,0,19852,12966,9225,152,278
0,0,0,15491,8847,6607,898,44
2,1,0,8388,18434,4822,1295,84
1,1,1,1886,19390,6530,114,221
1,2,1,18146,3017,6637,1132,59
2,2,1,5583,6841,3231,359,237
0,1,0,19915,6709,5777,1263,295
2,0,2,1323,19076,7633,824,40
2,1,2,21944,22955,4170,208,311
1,2,2,7506,24662,6012,1070,71
1,2,0,19263,13459,374,336,256
2,1,2,6062,5428,5204,271,132
2,1,2,12115,4101,8143,1014,48
2,1,0,27060,21703,2306,957,242
0,2,0,18316,3516,7651,652,308
2,1,0,8809,28008,9001,356,267
1,1,0,18138,10837,6478,1086,286
2,0,0,14110,25281,5522,291,280
0,2,1,19612,22005,7868,593,29
0,2,1,10884,16559,7630,312,155
2,1,1,28977,22651,7980,253,144
1,1,1,12642,7234,6356,1333,252
0,0,0,12147,25858,2758,375,15
2,1,0,18999,490,6139,41,3
2,2,0,28834,5430,1953,1354,47
0,2,0,22646,5527,4396,768,219
1,1,2,2646,2989,8102,378,117
0,1,2,3109,25624,1960,1145,68
1,2,0,29382,5717,3376,1276,205
1,0,1,1293,26786,8869,65,146
1,2,0,19233,750,2195,699,87
0,0,0,13257,8195,5558,637,296
2,1,1,21078,17655,1692,632,81
0,0,2,27313,6323,9085,162,68
0,2,1,21868,19260,1356,44,209
2,1,0,25177,6511,1841,1079,169
0,1,0,5283,4110,7228,1029,39
1,2,2,5556,18846,7542,1060,137
2,0,1,15276,12546,4688,1346,53
0,1,2,27720,549,2472,802,179
1,2,1,16040,14539,2360,479,208
2,0,1,749,1382,8215,308,79
1,1,2,890,13756,9261,1144,277
0,2,1,12052,10437,1226,944,75
1,2,2,23900,29527,4155,1212,281
1,2,1,28171,3042,4516,517,130
2,2,2,9483,27661,1586,455,123
0,1,1,10444,1555,3322,857,88
2,1,0,14832,14210,2403,456,128
1,0,2,6833,10170,2821,248,128
1,2,0,15018,17208,2194,500,6
1,1,1,15815,8863,8260,487,299
1,1,2,6376,27372,1470,73,207
2,1,1,14589,14210,7778,818,298
1,0,2,24710,26621,2189,1366,37
0,2,0,8558,18534,7389,984,213
0,0,0,23871,6091,2007,1023,185
0,2,2,17676,13606,4061,1434,143
1,1,2,16117,18691,3702,1369,184
1,1,2,9437,20141,1465,1193,185
2,2,0,4556,25448,1921,191,116
2,2,1,23707,4440,847,1102,190
1,1,1,14158,28934,723,1347,30
2,0,0,21640,22670,1684,1310,227
0,1,1,14369,5542,7047,472,25
1,0,2,1181,6429,2847,609,145
2,1,0,21288,7245,4279,241,38
1,0,2,29796,28014,8224,109,311
1,2,0,23817,3001,1554,1402,114
2,1,1,919,21978,624,1046,114
2,0,1,23624,12641,7715,595,31
1,2,0,2032,4035,2145,1056,249
2,2,2,522,27359,8262,887,146
2,2,0,11765,9583,7567,894,8
1,0,2,479,16212,7941,195,278
0,0,1,8617,8004,553,742,1
1,2,2,14213,24816,2872,396,300
1,1,0,22696,26738,1067,1020,277
2,0,2,5228,12803,2059,241,93
1,1,2,18192,16694,1497,1142,31
1,0,0,22706,5746,7780,710,50
2,2,2,13284,29457,9074,1286,80
1,1,2,17387,24048,9610,24,246
2,0,1,19113,21465,7923,949,24
1,2,0,26461,9725,5003,1176,162
2,2,2,2988,18324,2201,1431,277
2,1,0,7103,25,8436,461,101
0,0,1,18409,20747,1344,951,208
1,0,1,5177,1717,8289,1,187
0,1,2,24632,2966,1248,844,58
1,1,0,8529,29742,2276,596,100
0,0,1,13154,3932,1270,1419,100
1,1,1,1113,27246,8763,1072,311
1,1,2,20576,501,5785,679,250
0,2,0,6492,24465,411,528,88
0,2,0,13652,7815,930,576,63
2,0,1,5697,10394,2813,195,1
2,2,2,2293,13124,5590,332,48
1,0,1,13247,13893,3101,770,94
2,2,2,20783,17192,4248,280,183
2,0,1,13397,5852,4929,631,110
1,1,0,29141,250,9731,1305,119
0,0,1,27690,10053,5704,1036,289
2,0,1,26972,29405,5893,736,155
0,2,2,14252,16271,1592,548,96
0,0,2,9676,19274,1088,1207,313
0,2,0,165,5418,5505,725,52
0,2,0,5403,14488,6215,625,23
2,2,2,17215,27880,6167,1019,262
2,1,1,25676,24979,3270,416,256
1,0,0,9932,8800,6398,845,166
0,1,0,9949,14791,8623,201,244
2,0,0,151,28285,2980,1245,289
0,2,1,13352,6742,3249,688,165
2,1,1,21141,15717,8655,1259,255
0,2,1,23200,6858,8274,824,193
1,0,0,596,22315,6406,1223,62
0,1,1,3662,11551,687,1423,210
0,2,0,12665,8583,4183,1111,52
2,1,2,2970,25938,2922,755,263
0,0,1,13284,17681,8029,461,275
0,0,0,27119,19790,9211,83,314
1,1,1,24046,2913,1381,1266,59
0,0,2,19248,5709,6805,1030,283
0,0,2,15981,6758,1822,1024,65
2,1,0,27542,6119,2765,1378,262
0,2,2,19743,17185,8045,209,60
2,1,2,25466,9092,5456,675,233
0,0,2,12910,7464,605,1249,177
1,2,1,19044,15539,6212,597,101
2,0,2,8321,7794,9346,1037,309
1,2,1,6532,10437,2999,834,214
2,2,0,22498,636,7401,118,121
0,1,1,10059,15978,8224,694,301
1,2,0,13541,11910,4166,800,90
0,0,2,4267,7107,4116,294,109
2,2,2,28889,10343,2614,1028,22
0,0,1,20782,9750,5866,580,143
0,2,1,17403,1129,7813,810,58
0,0,0,19649,4940,5612,1260,268
0,1,1,13423,11529,5038,1125,211
1,0,1,567,10301,8259,494,183
0,2,0,2290,19275,3785,885,134
0,1,2,14615,256,2987,465,249
0,2,1,29424,19705,3254,143,218
1,0,0,9098,24673,8533,1339,190
0,2,0,25372,16906,7231,1148,164
1,2,0,25092,19773,1850,1066,305
0,0,0,6488,11086,3876,1330,110
0,0,0,20301,27830,2357,897,253
2,2,2,20466,16866,1358,1422,199
1,1,2,6017,2616,3784,249,283
0,1,0,16713,979,1408,1165,123
0,2,0,22541,3576,6320,830,257
0,1,0,29624,26694,6796,377,246
2,2,1,13119,14350,9213,726,66
2,0,2,5411,18353,5056,258,0
0,2,0,27251,11718,8825,298,57
2,0,2,8478,6971,6655,374,134
1,2,2,6025,27600,4344,310,301
1,2,1,13480,20887,3462,472,58
2,1,2,5225,20964,2332,485,203
1,2,0,18602,1137,8539,1022,67
2,2,2,18052,21688,1539,1071,94
2,2,1,9931,3373,6476,1376,225
1,1,1,21350,23197,7080,772,196
0,1,0,6029,20198,1886,1066,152
1,0,0,10186,25263,3964,182,34
2,1,1,26596,7981,9376,1391,84
2,0,0,29428,7412,6656,527,257
1,2,2,25548,17913,2192,1376,59
2,1,2,26353,1793,642,809,279
0,2,2,25122,15652,7929,1390,189
0,1,0,885,21235,5293,429,311
1,1,1,9732,10205,4479,1207,203
2,0,0,23975,28829,5120,686,205
1,1,0,15883,26259,2359,439,246
0,2,0,28415,12863,7040,148,113
0,0,2,24548,23852,1389,41,307
0,1,1,4343,21566,3862,146,121
2,1,2,26610,25629,2284,1064,214
1,0,1,9610,19788,7662,324,73
1,0,1,27638,27885,8112,844,21
2,1,2,1191,1805,776,1298,248
1,0,1,14082,7681,7803,149,81
0,0,1,10172,23187,7631,848,71
2,0,2,18394,3330,8508,426,237
2,0,1,8356,16506,1127,45,13
0,1,2,11769,4069,9810,805,63
2,1,1,4474,11698,2219,1001,27
2,1,2,3355,1003,5390,1246,249
2,1,2,1514,19712,5123,1400,88
2,1,1,27413,7251,2378,41,182
0,2,0,27712,23148,8221,467,56
2,2,0,9134,19422,7011,571,103
1,2,2,2943,15841,6221,850,271
2,0,1,28151,26498,6534,1187,28
2,1,1,16479,11815,5566,892,181
0,2,2,14690,15714,9331,1321,32
0,2,1,9506,14690,3920,135,4
0,2,1,7769,17476,4948,435,235
2,0,1,398,17936,2138,238,14
2,0,0,8138,17777,8358,782,128
1,1,1,5469,8355,383,636,190
0,2,1,10560,2068,3044,230,156
0,1,0,2280,29198,7118,1105,239
0,2,0,23538,13813,3909,625,159
0,2,1,2763,5146,7292,1102,45
1,0,1,8210,28235,9236,986,14
2,0,0,14982,16489,9818,809,298
0,2,0,22933,10461,8435,673,275
0,0,1,355,16625,2161,835,266
0,1,0,9890,18709,1073,449,298
1,0,1,18147,16505,8098,656,228
2,2,0,5778,29653,6862,628,198
0,1,0,3652,22206,7941,637,269
0,0,1,16214,1985,9671,48,277
2,2,1,15209,18110,7570,1323,258
2,1,1,21716,12268,7343,1012,211
1,1,2,23455,3132,2291,165,10
0,2,0,29225,3837,4875,524,295
0,2,0,1702,3238,2004,83,58
1,2,2,27450,1825,6638,642,166
1,2,2,26371,26020,7341,1256,186
0,1,2,10450,14099,3106,1430,303
0,0,2,16766,25690,464,122,173
0,1,1,11422,11353,8232,265,37
2,0,1,16518,21177,5568,266,222
1,1,0,20683,25240,4204,1093,22
1,2,1,3891,9048,8640,1006,111
1,0,0,1908,8939,6975,1324,268
2,2,1,20836,1192,2356,1359,91
0,2,1,21885,17420,3088,92,266
1,0,1,17968,24270,7660,830,24
0,2,0,17539,2945,5654,1241,135
0,2,1,2213,28520,5988,589,11
0,2,1,21322,16644,1863,1351,172
1,1,2,26449,6462,1982,892,156
0,1,1,14035,11174,5616,295,170
1,2,1,12792,12149,1125,654,28
1,1,2,13554,12103,2515,639,204
1,1,2,25684,24988,5713,699,47
1,1,2,10553,25264,383,350,91
0,1,0,23764,7865,5981,261,195
1,2,1,882,18317,2550,530,254
0,0,0,11208,26102,475,459,46
0,0,0,1528,17426,2347,1335,84
0,1,2,29700,22134,5782,22,292
1,0,0,8568,2102,7161,276,60
0,2,0,10207,15085,3713,517,237
2,2,2,15866,21730,6624,817,109
1,2,1,8762,687,8747,191,275
2,2,0,6779,6344,9212,559,171
2,0,1,5356,24249,7315,764,103
0,0,2,21422,14854,4865,1187,232
0,1,2,16473,18490,3887,931,261
0,1,1,1688,11974,3023,1288,156
1,1,2,25416,10197,6800,421,194
2,1,1,1611,25482,246,492,63
2,2,2,3577,26810,24,1302,73
0,1,1,13450,11466,5656,598,109
0,0,2,22866,26689,5712,676,112
1,0,1,27906,11275,1989,1115,93
1,1,0,29876,20555,3065,196,93
0,1,2,28337,15244,5662,16,161
1,2,0,16237,18622,538,394,153
1,2,2,16002,12861,3494,1345,113
0,0,2,6802,142,5630,77,99
0,1,2,18737,7052,5111,660,121
2,2,1,23625,17796,3982,282,56
1,2,2,26409,17532,2085,1384,74
0,1,1,24568,7780,7873,46,152
2,2,2,23028,25296,4601,838,141
0,0,1,18997,9134,5510,218,176
1,1,2,14700,6817,6630,984,50
0,0,1,29149,23895,4329,734,165
1,0,2,9964,17622,1366,674,266
0,1,1,27419,4263,4108,1118,173
0,1,2,24541,3659,7165,487,77
2,1,0,2534,12650,6579,524,59
0,1,2,24556,23633,3349,1389,121
1,0,2,7445,23102,6201,414,299
2,1,1,1170,1178,915,755,8
1,0,2,27544,23180,7115,995,219
0,1,0,21583,25359,3536,551,34
